anatomical_entity	anatomical_entity_fused_with	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004320	http://purl.obolibrary.org/obo/UPHENO_0078214
http://purl.obolibrary.org/obo/UBERON_0002389	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0078215
http://purl.obolibrary.org/obo/UBERON_0004324	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0078216
http://purl.obolibrary.org/obo/UBERON_0003650	http://purl.obolibrary.org/obo/UBERON_0003650	http://purl.obolibrary.org/obo/UPHENO_0078217
http://purl.obolibrary.org/obo/UBERON_0001463	http://purl.obolibrary.org/obo/UBERON_0003622	http://purl.obolibrary.org/obo/UPHENO_0078218
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004315	http://purl.obolibrary.org/obo/UPHENO_0078219
http://purl.obolibrary.org/obo/UBERON_0014889	http://purl.obolibrary.org/obo/UBERON_0014890	http://purl.obolibrary.org/obo/UPHENO_0078220
http://purl.obolibrary.org/obo/UBERON_0004333	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0078221
http://purl.obolibrary.org/obo/UBERON_0004332	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0078222
http://purl.obolibrary.org/obo/UBERON_0004331	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0078223
http://purl.obolibrary.org/obo/UBERON_0004612	http://purl.obolibrary.org/obo/UBERON_0004613	http://purl.obolibrary.org/obo/UPHENO_0078224
http://purl.obolibrary.org/obo/UBERON_0003641	http://purl.obolibrary.org/obo/UBERON_0003641	http://purl.obolibrary.org/obo/UPHENO_0078225
http://purl.obolibrary.org/obo/UBERON_0003642	http://purl.obolibrary.org/obo/UBERON_0003642	http://purl.obolibrary.org/obo/UPHENO_0078226
http://purl.obolibrary.org/obo/UBERON_0003638	http://purl.obolibrary.org/obo/UBERON_0003638	http://purl.obolibrary.org/obo/UPHENO_0078227
http://purl.obolibrary.org/obo/UBERON_0003639	http://purl.obolibrary.org/obo/UBERON_0003639	http://purl.obolibrary.org/obo/UPHENO_0078228
http://purl.obolibrary.org/obo/UBERON_0003645	http://purl.obolibrary.org/obo/UBERON_0003645	http://purl.obolibrary.org/obo/UPHENO_0078229
http://purl.obolibrary.org/obo/UBERON_0004338	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0078230
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0004331	http://purl.obolibrary.org/obo/UPHENO_0078231
