cell	compared_cell	location	defined_class
http://purl.obolibrary.org/obo/CL_0011025	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080997
http://purl.obolibrary.org/obo/CL_0000980	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080998
http://purl.obolibrary.org/obo/CL_0001044	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0080999
http://purl.obolibrary.org/obo/CL_0001044	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081000
http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081008
http://purl.obolibrary.org/obo/CL_0000898	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081016
http://purl.obolibrary.org/obo/CL_0000813	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081017
http://purl.obolibrary.org/obo/CL_0000816	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081018
http://purl.obolibrary.org/obo/CL_0000898	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081019
http://purl.obolibrary.org/obo/CL_0000897	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081020
http://purl.obolibrary.org/obo/CL_0000813	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081021
http://purl.obolibrary.org/obo/CL_0000818	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081022
http://purl.obolibrary.org/obo/CL_0000972	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081026
http://purl.obolibrary.org/obo/CL_0000970	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081027
http://purl.obolibrary.org/obo/CL_0000907	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081028
http://purl.obolibrary.org/obo/CL_0000970	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081029
http://purl.obolibrary.org/obo/CL_0000904	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081030
http://purl.obolibrary.org/obo/CL_0000624	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081031
http://purl.obolibrary.org/obo/CL_0000904	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081032
http://purl.obolibrary.org/obo/CL_0000625	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081033
http://purl.obolibrary.org/obo/CL_0000972	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081034
http://purl.obolibrary.org/obo/CL_0000909	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081036
http://purl.obolibrary.org/obo/CL_0000907	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081037
http://purl.obolibrary.org/obo/CL_0000909	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081038
http://purl.obolibrary.org/obo/CL_0000624	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081039
http://purl.obolibrary.org/obo/CL_0000625	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081040
http://purl.obolibrary.org/obo/CL_0000980	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081041
http://purl.obolibrary.org/obo/CL_0000913	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081042
http://purl.obolibrary.org/obo/CL_0000912	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081043
http://purl.obolibrary.org/obo/CL_0000912	http://purl.obolibrary.org/obo/CL_0000084	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081044
http://purl.obolibrary.org/obo/CL_0000913	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081045
http://purl.obolibrary.org/obo/CL_0000845	http://purl.obolibrary.org/obo/CL_0000000	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081048
http://purl.obolibrary.org/obo/CL_0000845	http://purl.obolibrary.org/obo/CL_0000236	http://purl.obolibrary.org/obo/UBERON_0000178	http://purl.obolibrary.org/obo/UPHENO_0081054
