biological_process	location	defined_class
http://purl.obolibrary.org/obo/GO_0051234	http://purl.obolibrary.org/obo/UBERON_0001820	http://purl.obolibrary.org/obo/UPHENO_0071063
http://purl.obolibrary.org/obo/GO_0019748	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071065
http://purl.obolibrary.org/obo/GO_0008152	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071070
http://purl.obolibrary.org/obo/GO_0009987	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071072
http://purl.obolibrary.org/obo/GO_0071840	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071074
http://purl.obolibrary.org/obo/GO_0009987	http://purl.obolibrary.org/obo/UBERON_0009024	http://purl.obolibrary.org/obo/UPHENO_0071077
http://purl.obolibrary.org/obo/GO_0051234	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071084
http://purl.obolibrary.org/obo/GO_0006810	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071085
http://purl.obolibrary.org/obo/GO_0012501	http://purl.obolibrary.org/obo/UBERON_0006012	http://purl.obolibrary.org/obo/UPHENO_0071087
http://purl.obolibrary.org/obo/GO_0003015	http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/UPHENO_0071088
http://purl.obolibrary.org/obo/GO_0003013	http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/UPHENO_0071093
http://purl.obolibrary.org/obo/GO_0009987	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071094
http://purl.obolibrary.org/obo/GO_0071705	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071095
http://purl.obolibrary.org/obo/GO_0051179	http://purl.obolibrary.org/obo/UBERON_0001820	http://purl.obolibrary.org/obo/UPHENO_0071098
http://purl.obolibrary.org/obo/GO_0050432	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071099
http://purl.obolibrary.org/obo/GO_0008219	http://purl.obolibrary.org/obo/UBERON_0006012	http://purl.obolibrary.org/obo/UPHENO_0071100
http://purl.obolibrary.org/obo/GO_0008152	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071101
http://purl.obolibrary.org/obo/GO_0018958	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071102
http://purl.obolibrary.org/obo/GO_0051234	http://purl.obolibrary.org/obo/UBERON_0001007	http://purl.obolibrary.org/obo/UPHENO_0071107
http://purl.obolibrary.org/obo/GO_0003008	http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/UPHENO_0071111
http://purl.obolibrary.org/obo/GO_0120036	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071113
http://purl.obolibrary.org/obo/GO_0051179	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071114
http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/UBERON_0000948	http://purl.obolibrary.org/obo/UPHENO_0071115
http://purl.obolibrary.org/obo/GO_0140352	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071116
http://purl.obolibrary.org/obo/GO_0016043	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071121
http://purl.obolibrary.org/obo/GO_0106030	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071122
http://purl.obolibrary.org/obo/GO_0006810	http://purl.obolibrary.org/obo/UBERON_0001007	http://purl.obolibrary.org/obo/UPHENO_0071123
http://purl.obolibrary.org/obo/GO_0015850	http://purl.obolibrary.org/obo/UBERON_0002369	http://purl.obolibrary.org/obo/UPHENO_0071125
http://purl.obolibrary.org/obo/GO_1901615	http://purl.obolibrary.org/obo/UBERON_0000019	http://purl.obolibrary.org/obo/UPHENO_0071126
http://purl.obolibrary.org/obo/GO_0008038	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071128
http://purl.obolibrary.org/obo/GO_0008037	http://purl.obolibrary.org/obo/UBERON_0001884	http://purl.obolibrary.org/obo/UPHENO_0071129
http://purl.obolibrary.org/obo/GO_0050896	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0071130
http://purl.obolibrary.org/obo/GO_0050896	http://purl.obolibrary.org/obo/UBERON_0010709	http://purl.obolibrary.org/obo/UPHENO_0071131
http://purl.obolibrary.org/obo/GO_0008152	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071133
http://purl.obolibrary.org/obo/GO_0018958	http://purl.obolibrary.org/obo/UBERON_0010230	http://purl.obolibrary.org/obo/UPHENO_0071134
http://purl.obolibrary.org/obo/GO_0009605	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0071141
