entity	location	defined_class
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0001449	http://purl.obolibrary.org/obo/UPHENO_0082311
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001465	http://purl.obolibrary.org/obo/UPHENO_0082337
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004318	http://purl.obolibrary.org/obo/UPHENO_0082338
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004319	http://purl.obolibrary.org/obo/UPHENO_0082339
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004324	http://purl.obolibrary.org/obo/UPHENO_0082344
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004327	http://purl.obolibrary.org/obo/UPHENO_0082345
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004325	http://purl.obolibrary.org/obo/UPHENO_0082347
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0004326	http://purl.obolibrary.org/obo/UPHENO_0082348
http://purl.obolibrary.org/obo/UBERON_0000009	http://purl.obolibrary.org/obo/UBERON_0001833	http://purl.obolibrary.org/obo/UPHENO_0082355
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UBERON_0010708	http://purl.obolibrary.org/obo/UPHENO_0082360
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003865	http://purl.obolibrary.org/obo/UPHENO_0082367
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003620	http://purl.obolibrary.org/obo/UPHENO_0082368
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003638	http://purl.obolibrary.org/obo/UPHENO_0082375
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003639	http://purl.obolibrary.org/obo/UPHENO_0082377
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0003637	http://purl.obolibrary.org/obo/UPHENO_0082378
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003622	http://purl.obolibrary.org/obo/UPHENO_0082380
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003864	http://purl.obolibrary.org/obo/UPHENO_0082381
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003624	http://purl.obolibrary.org/obo/UPHENO_0082382
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003634	http://purl.obolibrary.org/obo/UPHENO_0082383
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UBERON_0001463	http://purl.obolibrary.org/obo/UPHENO_0082385
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003625	http://purl.obolibrary.org/obo/UPHENO_0082391
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0001449	http://purl.obolibrary.org/obo/UPHENO_0082394
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003633	http://purl.obolibrary.org/obo/UPHENO_0082411
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003632	http://purl.obolibrary.org/obo/UPHENO_0082412
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0003635	http://purl.obolibrary.org/obo/UPHENO_0082413
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UBERON_0002234	http://purl.obolibrary.org/obo/UPHENO_0082416
