chemical_entity	defined_class
http://purl.obolibrary.org/obo/PR_000003969	http://purl.obolibrary.org/obo/UPHENO_0066787
http://purl.obolibrary.org/obo/PR_000012234	http://purl.obolibrary.org/obo/UPHENO_0081720
http://purl.obolibrary.org/obo/PR_000003968	http://purl.obolibrary.org/obo/UPHENO_0080017
http://purl.obolibrary.org/obo/PR_Q12882	http://purl.obolibrary.org/obo/UPHENO_0081721
http://purl.obolibrary.org/obo/PR_P47989	http://purl.obolibrary.org/obo/UPHENO_0081722
http://purl.obolibrary.org/obo/CHEBI_30413	http://purl.obolibrary.org/obo/UPHENO_0080018
http://purl.obolibrary.org/obo/CHEBI_33699	http://purl.obolibrary.org/obo/UPHENO_0066791
http://purl.obolibrary.org/obo/CHEBI_26523	http://purl.obolibrary.org/obo/UPHENO_0080019
http://purl.obolibrary.org/obo/CHEBI_15422	http://purl.obolibrary.org/obo/UPHENO_0066792
http://purl.obolibrary.org/obo/CHEBI_27363	http://purl.obolibrary.org/obo/UPHENO_0080020
http://purl.obolibrary.org/obo/CHEBI_16240	http://purl.obolibrary.org/obo/UPHENO_0080021
http://purl.obolibrary.org/obo/CHEBI_18248	http://purl.obolibrary.org/obo/UPHENO_0081723
http://purl.obolibrary.org/obo/CHEBI_26034	http://purl.obolibrary.org/obo/UPHENO_0080022
http://purl.obolibrary.org/obo/CHEBI_36080	http://purl.obolibrary.org/obo/UPHENO_0081724
http://purl.obolibrary.org/obo/CHEBI_16134	http://purl.obolibrary.org/obo/UPHENO_0089896
http://purl.obolibrary.org/obo/CHEBI_33697	http://purl.obolibrary.org/obo/UPHENO_0081725
http://purl.obolibrary.org/obo/CHEBI_8653	http://purl.obolibrary.org/obo/UPHENO_0081726
http://purl.obolibrary.org/obo/CHEBI_17489	http://purl.obolibrary.org/obo/UPHENO_0081727
http://purl.obolibrary.org/obo/CHEBI_26401	http://purl.obolibrary.org/obo/UPHENO_0066781
