defined_class	defined_class_label	anatomical_entity1	anatomical_entity1_label	anatomical_entity2	anatomical_entity2_label
http://purl.obolibrary.org/obo/ZP_0130899	ceratohyal cartilage decreased distance palatoquadrate cartilage, abnormal	http://purl.obolibrary.org/obo/ZFA_0001400	ceratohyal cartilage	http://purl.obolibrary.org/obo/ZFA_0001399	palatoquadrate cartilage
http://purl.obolibrary.org/obo/ZP_0011558	dorsal aorta decreased distance caudal vein, abnormal	http://purl.obolibrary.org/obo/ZFA_0000014	dorsal aorta	http://purl.obolibrary.org/obo/ZFA_0000180	caudal vein
http://purl.obolibrary.org/obo/ZP_0016243	dorsomedial optic tract decreased distance ventrolateral optic tract, abnormal	http://purl.obolibrary.org/obo/ZFA_0000655	dorsomedial optic tract	http://purl.obolibrary.org/obo/ZFA_0000708	ventrolateral optic tract
http://purl.obolibrary.org/obo/ZP_0000621	eye decreased distance eye, abnormal	http://purl.obolibrary.org/obo/ZFA_0000107	eye	http://purl.obolibrary.org/obo/ZFA_0000107	eye
http://purl.obolibrary.org/obo/ZP_0010435	forebrain midbrain boundary decreased distance hindbrain commissure, abnormal	http://purl.obolibrary.org/obo/ZFA_0001367	forebrain midbrain boundary	http://purl.obolibrary.org/obo/ZFA_0001692	hindbrain commissure
http://purl.obolibrary.org/obo/ZP_0147781	frontal bone decreased distance nasal bone, abnormal	http://purl.obolibrary.org/obo/ZFA_0000514	frontal bone	http://purl.obolibrary.org/obo/ZFA_0000365	nasal bone
http://purl.obolibrary.org/obo/ZP_0142887	gill raker decreased distance gill raker, abnormal	http://purl.obolibrary.org/obo/ZFA_0000356	gill raker	http://purl.obolibrary.org/obo/ZFA_0000356	gill raker
http://purl.obolibrary.org/obo/ZP_0148980	lens decreased distance lens, abnormal	http://purl.obolibrary.org/obo/ZFA_0000035	lens	http://purl.obolibrary.org/obo/ZFA_0000035	lens
http://purl.obolibrary.org/obo/ZP_0007623	midbrain hindbrain boundary decreased distance otic vesicle, abnormal	http://purl.obolibrary.org/obo/ZFA_0000042	midbrain hindbrain boundary	http://purl.obolibrary.org/obo/ZFA_0000051	otic vesicle
http://purl.obolibrary.org/obo/ZP_0141497	midbrain hindbrain boundary decreased distance rhombomere 3, abnormal	http://purl.obolibrary.org/obo/ZFA_0000042	midbrain hindbrain boundary	http://purl.obolibrary.org/obo/ZFA_0000948	rhombomere 3
http://purl.obolibrary.org/obo/ZP_0004064	myocardium decreased distance endocardium, abnormal	http://purl.obolibrary.org/obo/ZFA_0001319	myocardium	http://purl.obolibrary.org/obo/ZFA_0001320	endocardium
http://purl.obolibrary.org/obo/ZP_0142846	neurocranial trabecula decreased distance neurocranial trabecula, abnormal	http://purl.obolibrary.org/obo/ZFA_0001321	neurocranial trabecula	http://purl.obolibrary.org/obo/ZFA_0001321	neurocranial trabecula
http://purl.obolibrary.org/obo/ZP_0015080	neuromast decreased distance neuromast, abnormal	http://purl.obolibrary.org/obo/ZFA_0000243	neuromast	http://purl.obolibrary.org/obo/ZFA_0000243	neuromast
http://purl.obolibrary.org/obo/ZP_0104116	notochord decreased distance prechordal plate, abnormal	http://purl.obolibrary.org/obo/ZFA_0000135	notochord	http://purl.obolibrary.org/obo/ZFA_0000060	prechordal plate
http://purl.obolibrary.org/obo/ZP_0001695	otic vesicle decreased distance somite 1, abnormal	http://purl.obolibrary.org/obo/ZFA_0000051	otic vesicle	http://purl.obolibrary.org/obo/ZFA_0000072	somite 1
http://purl.obolibrary.org/obo/ZP_0001259	otolith decreased distance otolith, abnormal	http://purl.obolibrary.org/obo/ZFA_0001617	otolith	http://purl.obolibrary.org/obo/ZFA_0001617	otolith
http://purl.obolibrary.org/obo/ZP_0140330	posterior cardinal vein decreased distance dorsal aorta, abnormal	http://purl.obolibrary.org/obo/ZFA_0000477	posterior cardinal vein	http://purl.obolibrary.org/obo/ZFA_0000014	dorsal aorta
http://purl.obolibrary.org/obo/ZP_0011634	presumptive rhombomere 1 decreased distance somite 1, abnormal	http://purl.obolibrary.org/obo/ZFA_0001207	presumptive rhombomere 1	http://purl.obolibrary.org/obo/ZFA_0000072	somite 1
http://purl.obolibrary.org/obo/ZP_0011308	presumptive rhombomere 5 decreased distance somite 1, abnormal	http://purl.obolibrary.org/obo/ZFA_0001211	presumptive rhombomere 5	http://purl.obolibrary.org/obo/ZFA_0000072	somite 1
http://purl.obolibrary.org/obo/ZP_0143709	pupil decreased distance pupil, abnormal	http://purl.obolibrary.org/obo/ZFA_0001283	pupil	http://purl.obolibrary.org/obo/ZFA_0001283	pupil
http://purl.obolibrary.org/obo/ZP_0011453	rhombomere 3 decreased distance rhombomere 5, abnormal	http://purl.obolibrary.org/obo/ZFA_0000948	rhombomere 3	http://purl.obolibrary.org/obo/ZFA_0000823	rhombomere 5
http://purl.obolibrary.org/obo/ZP_0010951	rhombomere 5 decreased distance somite 1, abnormal	http://purl.obolibrary.org/obo/ZFA_0000823	rhombomere 5	http://purl.obolibrary.org/obo/ZFA_0000072	somite 1
http://purl.obolibrary.org/obo/ZP_0130832	rhombomere 6 decreased distance somite 1, abnormal	http://purl.obolibrary.org/obo/ZFA_0000069	rhombomere 6	http://purl.obolibrary.org/obo/ZFA_0000072	somite 1
http://purl.obolibrary.org/obo/ZP_0130833	rhombomere 7 decreased distance somite 1, abnormal	http://purl.obolibrary.org/obo/ZFA_0000949	rhombomere 7	http://purl.obolibrary.org/obo/ZFA_0000072	somite 1
http://purl.obolibrary.org/obo/ZP_0146682	sagitta decreased distance lapillus, abnormal	http://purl.obolibrary.org/obo/ZFA_0000676	sagitta	http://purl.obolibrary.org/obo/ZFA_0000530	lapillus
http://purl.obolibrary.org/obo/ZP_0145180	snout decreased distance pectoral fin, abnormal	http://purl.obolibrary.org/obo/ZFA_0005496	snout	http://purl.obolibrary.org/obo/ZFA_0001161	pectoral fin
http://purl.obolibrary.org/obo/ZP_0142035	trabecula cranii decreased distance trabecula cranii, abnormal	http://purl.obolibrary.org/obo/ZFA_0001507	trabecula cranii	http://purl.obolibrary.org/obo/ZFA_0001507	trabecula cranii
http://purl.obolibrary.org/obo/ZP_0018138	vagal neural crest decreased distance hyoid neural crest, abnormal	http://purl.obolibrary.org/obo/ZFA_0000818	vagal neural crest	http://purl.obolibrary.org/obo/ZFA_0007065	hyoid neural crest
http://purl.obolibrary.org/obo/ZP_0102255	vertebra decreased distance vertebra, abnormal	http://purl.obolibrary.org/obo/ZFA_0001189	vertebra	http://purl.obolibrary.org/obo/ZFA_0001189	vertebra
http://purl.obolibrary.org/obo/ZP_0101167	whole organism decreased distance whole organism, abnormal	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism	http://purl.obolibrary.org/obo/ZFA_0001094	whole organism
