defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label
http://purl.obolibrary.org/obo/MP_0003605	fused kidneys	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/MP_0009553	fused lips	http://purl.obolibrary.org/obo/UBERON_0001833	lip	http://purl.obolibrary.org/obo/UBERON_0001833	lip
http://purl.obolibrary.org/obo/MP_0030475	fused lower incisors	http://purl.obolibrary.org/obo/UBERON_0003451	lower jaw incisor	http://purl.obolibrary.org/obo/UBERON_0003451	lower jaw incisor
http://purl.obolibrary.org/obo/MP_0004639	fused metacarpal bones	http://purl.obolibrary.org/obo/UBERON_0002374	metacarpal bone	http://purl.obolibrary.org/obo/UBERON_0002374	metacarpal bone
http://purl.obolibrary.org/obo/MP_0004642	fused metatarsal bones	http://purl.obolibrary.org/obo/UBERON_0001448	metatarsal bone	http://purl.obolibrary.org/obo/UBERON_0001448	metatarsal bone
http://purl.obolibrary.org/obo/MP_0030473	fused molars	http://purl.obolibrary.org/obo/UBERON_0003655	molar tooth	http://purl.obolibrary.org/obo/UBERON_0003655	molar tooth
http://purl.obolibrary.org/obo/MP_0008730	fused phalanges	http://purl.obolibrary.org/obo/UBERON_0003221	phalanx	http://purl.obolibrary.org/obo/UBERON_0003221	phalanx
http://purl.obolibrary.org/obo/MP_0020350	fused pharyngeal arches	http://purl.obolibrary.org/obo/UBERON_0002539	pharyngeal arch	http://purl.obolibrary.org/obo/UBERON_0002539	pharyngeal arch
http://purl.obolibrary.org/obo/MP_0011530	fused radius and ulna	http://purl.obolibrary.org/obo/UBERON_0001423	radius bone	http://purl.obolibrary.org/obo/UBERON_0001424	ulna
http://purl.obolibrary.org/obo/MP_0014080	fused small intestinal villi	http://purl.obolibrary.org/obo/UBERON_0001213	intestinal villus	http://purl.obolibrary.org/obo/UBERON_0001213	intestinal villus
http://purl.obolibrary.org/obo/MP_0011733	fused somites	http://purl.obolibrary.org/obo/UBERON_0002329	somite	http://purl.obolibrary.org/obo/UBERON_0002329	somite
http://purl.obolibrary.org/obo/MP_0008919	fused tarsal bones	http://purl.obolibrary.org/obo/UBERON_0001447	tarsal bone	http://purl.obolibrary.org/obo/UBERON_0001447	tarsal bone
http://purl.obolibrary.org/obo/MP_0030472	fused teeth	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth
http://purl.obolibrary.org/obo/MP_0004552	fused tracheal cartilage rings	http://purl.obolibrary.org/obo/UBERON_0003604	trachea cartilage	http://purl.obolibrary.org/obo/UBERON_0003604	trachea cartilage
http://purl.obolibrary.org/obo/MP_0030476	fused upper incisors	http://purl.obolibrary.org/obo/UBERON_0003450	upper jaw incisor	http://purl.obolibrary.org/obo/UBERON_0003450	upper jaw incisor
http://purl.obolibrary.org/obo/MP_0013911	fused vestibular saccule and utricle	http://purl.obolibrary.org/obo/UBERON_0001854	saccule of membranous labyrinth	http://purl.obolibrary.org/obo/UBERON_0001853	utricle of membranous labyrinth
http://purl.obolibrary.org/obo/MP_0010728	fusion of atlas and occipital bones	http://purl.obolibrary.org/obo/UBERON_0001092	vertebral bone 1	http://purl.obolibrary.org/obo/UBERON_0001676	occipital bone
http://purl.obolibrary.org/obo/MP_0010701	fusion of atlas and odontoid process	http://purl.obolibrary.org/obo/UBERON_0001092	vertebral bone 1	http://purl.obolibrary.org/obo/UBERON_0004096	odontoid process of cervical vertebra 2
http://purl.obolibrary.org/obo/MP_0004572	fusion of basioccipital and basisphenoid bone	http://purl.obolibrary.org/obo/UBERON_0001692	basioccipital bone	http://purl.obolibrary.org/obo/UBERON_0006428	basisphenoid bone
http://purl.obolibrary.org/obo/MP_0004568	fusion of glossopharyngeal and vagus nerve	http://purl.obolibrary.org/obo/UBERON_0001649	glossopharyngeal nerve	http://purl.obolibrary.org/obo/UBERON_0001759	vagus nerve
http://purl.obolibrary.org/obo/MP_0004613	fusion of vertebral arches	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra	http://purl.obolibrary.org/obo/UBERON_0003861	neural arch
http://purl.obolibrary.org/obo/MP_0004612	fusion of vertebral bodies	http://purl.obolibrary.org/obo/UBERON_0003861	neural arch	http://purl.obolibrary.org/obo/UBERON_0001075	bony vertebral centrum
http://purl.obolibrary.org/obo/MP_0030110	incudomalleolar fusion	http://purl.obolibrary.org/obo/UBERON_0001688	incus bone	http://purl.obolibrary.org/obo/UBERON_0001689	malleus bone
http://purl.obolibrary.org/obo/MP_0004621	lumbar vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0002414	lumbar vertebra	http://purl.obolibrary.org/obo/UBERON_0002414	lumbar vertebra
http://purl.obolibrary.org/obo/MP_0009487	rectourethral fusion	http://purl.obolibrary.org/obo/UBERON_0001052	rectum	http://purl.obolibrary.org/obo/UBERON_0000057	urethra
http://purl.obolibrary.org/obo/MP_0009486	rectovaginal fusion	http://purl.obolibrary.org/obo/UBERON_0001052	rectum	http://purl.obolibrary.org/obo/UBERON_0000996	vagina
http://purl.obolibrary.org/obo/MP_0012817	rhombomere fusion	http://purl.obolibrary.org/obo/UBERON_0001892	rhombomere	http://purl.obolibrary.org/obo/UBERON_0001892	rhombomere
http://purl.obolibrary.org/obo/MP_0000154	rib fusion	http://purl.obolibrary.org/obo/UBERON_0002228	rib	http://purl.obolibrary.org/obo/UBERON_0002228	rib
http://purl.obolibrary.org/obo/MP_0004622	sacral vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0001094	sacral vertebra	http://purl.obolibrary.org/obo/UBERON_0001094	sacral vertebra
http://purl.obolibrary.org/obo/MP_0003445	sirenomelia	http://purl.obolibrary.org/obo/UBERON_0002103	hindlimb	http://purl.obolibrary.org/obo/UBERON_0002103	hindlimb
http://purl.obolibrary.org/obo/MP_0010082	sternebra fusion	http://purl.obolibrary.org/obo/UBERON_0002208	sternebra	http://purl.obolibrary.org/obo/UBERON_0002208	sternebra
http://purl.obolibrary.org/obo/MP_0013393	symblepharon	http://purl.obolibrary.org/obo/UBERON_0001812	palpebral conjunctiva	http://purl.obolibrary.org/obo/UBERON_0010306	bulbar conjunctiva
http://purl.obolibrary.org/obo/MP_0000564	syndactyly	http://purl.obolibrary.org/obo/UBERON_0002544	digit	http://purl.obolibrary.org/obo/UBERON_0002544	digit
http://purl.obolibrary.org/obo/MP_0030085	syngnathia	http://purl.obolibrary.org/obo/UBERON_0001709	upper jaw region	http://purl.obolibrary.org/obo/UBERON_0001710	lower jaw region
http://purl.obolibrary.org/obo/MP_0004623	thoracic vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0002347	thoracic vertebra	http://purl.obolibrary.org/obo/UBERON_0002347	thoracic vertebra
http://purl.obolibrary.org/obo/MP_0013264	tongue ankylosis	http://purl.obolibrary.org/obo/UBERON_0001723	tongue	http://purl.obolibrary.org/obo/UBERON_0003679	mouth floor
http://purl.obolibrary.org/obo/MP_0030449	tooth ankylosis	http://purl.obolibrary.org/obo/UBERON_0001753	cementum	http://purl.obolibrary.org/obo/UBERON_0004103	alveolar ridge
http://purl.obolibrary.org/obo/MP_0004609	vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra
