defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/PLANP_0000591	abnormal gap junction	http://purl.obolibrary.org/obo/PLANA_0002041	gap junction
http://purl.obolibrary.org/obo/PLANP_0000595	abnormal glycogen granule	http://purl.obolibrary.org/obo/PLANA_0002045	glycogen granule
http://purl.obolibrary.org/obo/PLANP_0000549	abnormal heterochromatin	http://purl.obolibrary.org/obo/PLANA_0000535	heterochromatin
http://purl.obolibrary.org/obo/PLANP_0000599	abnormal intercellular junction	http://purl.obolibrary.org/obo/PLANA_0002049	intercellular junction
http://purl.obolibrary.org/obo/PLANP_0000682	abnormal intracellular granule	http://purl.obolibrary.org/obo/PLANA_0002137	intracellular granule
http://purl.obolibrary.org/obo/PLANP_0000398	abnormal intracellular membrane-bounded organelle	http://purl.obolibrary.org/obo/PLANA_0000527	intracellular membrane-bounded organelle
http://purl.obolibrary.org/obo/PLANP_0000067	abnormal intracellular non-membrane-bounded organelle	http://purl.obolibrary.org/obo/PLANA_0000519	intracellular non-membrane-bounded organelle
http://purl.obolibrary.org/obo/PLANP_0000373	abnormal intracellular organelle	http://purl.obolibrary.org/obo/PLANA_0000518	intracellular organelle
http://purl.obolibrary.org/obo/PLANP_0000358	abnormal intracellular part	http://purl.obolibrary.org/obo/PLANA_0000509	intracellular part
http://purl.obolibrary.org/obo/PLANP_0000602	abnormal lipid droplet	http://purl.obolibrary.org/obo/PLANA_0002052	lipid droplet
http://purl.obolibrary.org/obo/PLANP_0000387	abnormal lysosome	http://purl.obolibrary.org/obo/PLANA_0007518	lysosome
http://purl.obolibrary.org/obo/PLANP_0000702	abnormal melanin pigment granule	http://purl.obolibrary.org/obo/PLANA_0003114	melanin pigment granule
http://purl.obolibrary.org/obo/PLANP_0000608	abnormal melanosome	http://purl.obolibrary.org/obo/PLANA_0002058	melanosome
http://purl.obolibrary.org/obo/PLANP_0000229	abnormal membrane	http://purl.obolibrary.org/obo/PLANA_0000520	membrane
http://purl.obolibrary.org/obo/PLANP_0000388	abnormal membrane part	http://purl.obolibrary.org/obo/PLANA_0000522	membrane part
http://purl.obolibrary.org/obo/PLANP_0000131	abnormal membrane-bounded organelle	http://purl.obolibrary.org/obo/PLANA_0000526	membrane-bounded organelle
http://purl.obolibrary.org/obo/PLANP_0000339	abnormal microvillus	http://purl.obolibrary.org/obo/PLANA_0000504	microvillus
http://purl.obolibrary.org/obo/PLANP_0000341	abnormal mitochondrion	http://purl.obolibrary.org/obo/PLANA_0007512	mitochondrion
http://purl.obolibrary.org/obo/PLANP_0000611	abnormal neurite	http://purl.obolibrary.org/obo/PLANA_0002061	neurite
http://purl.obolibrary.org/obo/PLANP_0000192	abnormal non-membrane-bounded organelle	http://purl.obolibrary.org/obo/PLANA_0000531	non-membrane-bounded organelle
http://purl.obolibrary.org/obo/PLANP_0000614	abnormal nuclear envelope	http://purl.obolibrary.org/obo/PLANA_0002064	nuclear envelope
http://purl.obolibrary.org/obo/PLANP_0000615	abnormal nuclear inner membrane	http://purl.obolibrary.org/obo/PLANA_0002065	nuclear inner membrane
http://purl.obolibrary.org/obo/PLANP_0000616	abnormal nuclear lumen	http://purl.obolibrary.org/obo/PLANA_0002066	nuclear lumen
http://purl.obolibrary.org/obo/PLANP_0000617	abnormal nuclear outer membrane	http://purl.obolibrary.org/obo/PLANA_0002067	nuclear outer membrane
http://purl.obolibrary.org/obo/PLANP_0000170	abnormal nuclear part	http://purl.obolibrary.org/obo/PLANA_0000532	nuclear part
http://purl.obolibrary.org/obo/PLANP_0000618	abnormal nuclear periphery	http://purl.obolibrary.org/obo/PLANA_0002068	nuclear periphery
http://purl.obolibrary.org/obo/PLANP_0000095	abnormal nuclear pore	http://purl.obolibrary.org/obo/PLANA_0007516	nuclear pore
http://purl.obolibrary.org/obo/PLANP_0000015	abnormal nucleolus	http://purl.obolibrary.org/obo/PLANA_0000533	nucleolus
http://purl.obolibrary.org/obo/PLANP_0000200	abnormal nucleus	http://purl.obolibrary.org/obo/PLANA_0000529	nucleus
http://purl.obolibrary.org/obo/PLANP_0000703	abnormal ommochrome pigment granule	http://purl.obolibrary.org/obo/PLANA_0003115	ommochrome pigment granule
http://purl.obolibrary.org/obo/PLANP_0000306	abnormal organelle	http://purl.obolibrary.org/obo/PLANA_0000525	organelle
http://purl.obolibrary.org/obo/PLANP_0000464	abnormal organelle membrane	http://purl.obolibrary.org/obo/PLANA_0000524	organelle membrane
http://purl.obolibrary.org/obo/PLANP_0000625	abnormal pigment granule	http://purl.obolibrary.org/obo/PLANA_0002076	pigment granule
http://purl.obolibrary.org/obo/PLANP_0000145	abnormal plasma membrane	http://purl.obolibrary.org/obo/PLANA_0007509	plasma membrane
http://purl.obolibrary.org/obo/PLANP_0000154	abnormal plasma membrane part	http://purl.obolibrary.org/obo/PLANA_0000523	plasma membrane part
http://purl.obolibrary.org/obo/PLANP_0000633	abnormal presynaptic terminal	http://purl.obolibrary.org/obo/PLANA_0002084	presynaptic terminal
http://purl.obolibrary.org/obo/PLANP_0000634	abnormal presynaptic vesicle	http://purl.obolibrary.org/obo/PLANA_0002085	presynaptic vesicle
http://purl.obolibrary.org/obo/PLANP_0000078	abnormal rhabdite	http://purl.obolibrary.org/obo/PLANA_0000104	rhabdite
http://purl.obolibrary.org/obo/PLANP_0000641	abnormal rhabdomere	http://purl.obolibrary.org/obo/PLANA_0002092	rhabdomere
http://purl.obolibrary.org/obo/PLANP_0000097	abnormal ribosome	http://purl.obolibrary.org/obo/PLANA_0000537	ribosome
http://purl.obolibrary.org/obo/PLANP_0000020	abnormal rough endoplasmic reticulum	http://purl.obolibrary.org/obo/PLANA_0007514	rough endoplasmic reticulum
http://purl.obolibrary.org/obo/PLANP_0000643	abnormal secretory granule	http://purl.obolibrary.org/obo/PLANA_0002094	secretory granule
http://purl.obolibrary.org/obo/PLANP_0000374	abnormal secretory vesicle	http://purl.obolibrary.org/obo/PLANA_0000530	secretory vesicle
http://purl.obolibrary.org/obo/PLANP_0000267	abnormal smooth endoplasmic reticulum	http://purl.obolibrary.org/obo/PLANA_0007515	smooth endoplasmic reticulum
http://purl.obolibrary.org/obo/PLANP_0000649	abnormal synapse	http://purl.obolibrary.org/obo/PLANA_0002100	synapse
http://purl.obolibrary.org/obo/PLANP_0000651	abnormal synaptic vesicle	http://purl.obolibrary.org/obo/PLANA_0002102	synaptic vesicle
http://purl.obolibrary.org/obo/PLANP_0000652	abnormal synaptonemal complex	http://purl.obolibrary.org/obo/PLANA_0002103	synaptonemal complex
http://purl.obolibrary.org/obo/PLANP_0000654	abnormal telomere	http://purl.obolibrary.org/obo/PLANA_0002105	telomere
http://purl.obolibrary.org/obo/PLANP_0000655	abnormal tight junction	http://purl.obolibrary.org/obo/PLANA_0002106	septate junction
http://purl.obolibrary.org/obo/PLANP_0000298	abnormal vacuole	http://purl.obolibrary.org/obo/PLANA_0000515	vacuole
